File,NumberLines,TokenEntropy,HalsteadVolume,Truth
1.jsnp,16,2.03,60.94,Y
2.jsnp,30,2.95,460.12,N
3.jsnp,33,3.15,658.91,N
4.jsnp,24,1.67,49.83,Y
5.jsnp,27,2.19,213.62,Y
6.jsnp,18,3.42,56.47,Y
7.jsnp,36,3.52,430.86,N
8.jsnp,33,2.61,443.97,N
9.jsnp,32,2.98,219.62,Y
10.jsnp,25,3.52,349.77,N
11.jsnp,14,2.52,133.78,Y
12.jsnp,19,2.91,217.98,N
13.jsnp,22,2.65,471.46,N
14.jsnp,28,2.31,494.35,N
15.jsnp,39,2.19,502.67,N
16.jsnp,16,4.04,226.18,Y
17.jsnp,40,4.04,361.07,Y
18.jsnp,28,3.98,585.15,Y
19.jsnp,13,3.30,19.65,Y
20.jsnp,28,4.24,491.48,Y
21.jsnp,13,3.93,150.12,Y
22.jsnp,22,3.97,197.42,Y
23.jsnp,12,3.93,77.66,N
24.jsnp,11,4.03,141.78,Y
25.jsnp,23,4.07,325.60,Y
26.jsnp,30,4.04,679.95,N
27.jsnp,38,3.85,298.02,Y
28.jsnp,34,4.41,557.88,N
29.jsnp,21,4.02,210.91,Y
30.jsnp,25,3.69,216.84,N
31.jsnp,29,4.68,560.17,N
32.jsnp,21,3.61,118.54,Y
33.jsnp,29,4.11,247.76,Y
34.jsnp,42,4.19,792.23,N
35.jsnp,16,4.39,245.18,Y
36.jsnp,12,4.13,310.10,N
37.jsnp,21,2.20,249.12,Y
38.jsnp,21,3.29,242.03,Y
39.jsnp,20,2.42,56.47,Y
40.jsnp,40,2.51,361.93,Y
41.jsnp,42,2.51,523.19,Y
42.jsnp,34,2.55,172.00,Y
43.jsnp,34,2.47,385.44,N
44.jsnp,39,2.65,253.82,Y
45.jsnp,20,2.93,276.60,Y
46.jsnp,29,3.22,447.56,N
47.jsnp,23,2.14,232.99,Y
48.jsnp,36,1.94,383.78,Y
49.jsnp,25,2.63,309.63,N
50.jsnp,31,1.94,370.00,N
51.jsnp,31,2.46,320.95,N
52.jsnp,12,3.02,146.95,Y
53.jsnp,13,2.43,31.70,Y
54.jsnp,26,2.90,482.15,Y
55.jsnp,14,3.46,60.92,Y
